audio,sentence,language,speaker_id
/Users/xy/Programming/Self-Projects/projects/hackathon-ready/dka/examples/bisaya-web/processed/audio/sugbo_hymn_0001.wav,"sugbo, harang kapupud-an sa habagatan",ceb,unknown
/Users/xy/Programming/Self-Projects/projects/hackathon-ready/dka/examples/bisaya-web/processed/audio/sugbo_hymn_0002.wav,kinapusurang lalawigan sa kabisay-an,ceb,unknown
/Users/xy/Programming/Self-Projects/projects/hackathon-ready/dka/examples/bisaya-web/processed/audio/sugbo_hymn_0003.wav,sa kaalam adunahan,ceb,unknown
/Users/xy/Programming/Self-Projects/projects/hackathon-ready/dka/examples/bisaya-web/processed/audio/sugbo_hymn_0004.wav,sa among gugma ug dungog kanunay'ng halaran,ceb,unknown
/Users/xy/Programming/Self-Projects/projects/hackathon-ready/dka/examples/bisaya-web/processed/audio/sugbo_hymn_0005.wav,"sugbo, unang binunyagan sa kristohanong tinuho-an",ceb,unknown
/Users/xy/Programming/Self-Projects/projects/hackathon-ready/dka/examples/bisaya-web/processed/audio/sugbo_hymn_0006.wav,gipanalipdan kanunay ni señor santo niño,ceb,unknown
/Users/xy/Programming/Self-Projects/projects/hackathon-ready/dka/examples/bisaya-web/processed/audio/sugbo_hymn_0007.wav,"makasaysayanon, maabi-abihon, madanihon",ceb,unknown
/Users/xy/Programming/Self-Projects/projects/hackathon-ready/dka/examples/bisaya-web/processed/audio/sugbo_hymn_0008.wav,ug angay ka gayud nga ipasigarbo,ceb,unknown
/Users/xy/Programming/Self-Projects/projects/hackathon-ready/dka/examples/bisaya-web/processed/audio/sugbo_hymn_0009.wav,"sugbo, pinangga sa klima ug panahon",ceb,unknown
/Users/xy/Programming/Self-Projects/projects/hackathon-ready/dka/examples/bisaya-web/processed/audio/sugbo_hymn_0010.wav,"kalinaw, kauswagan — palungtaron, palambuon",ceb,unknown
/Users/xy/Programming/Self-Projects/projects/hackathon-ready/dka/examples/bisaya-web/processed/audio/sugbo_hymn_0011.wav,bisan asa modangat sa among pagpaningkamot,ceb,unknown
